,kp,ki,Average Settling Time (sec)
110,100.1,0.1,198.6858
79,70.1,2.1,203.1516
99,90.1,0.1,204.7392
100,90.1,1.1,205.4409
80,70.1,3.1,208.0492
90,80.1,2.1,208.2107
88,80.1,0.1,210.2487
89,80.1,1.1,210.5227
78,70.1,1.1,211.2482
77,70.1,0.1,219.015
68,60.1,2.1,231.5325
67,60.1,1.1,234.7817
66,60.1,0.1,244.0475
70,60.1,4.1,247.0854
47,40.1,3.1,247.5256
58,50.1,3.1,252.6738
44,40.1,0.1,255.3361
56,50.1,1.1,255.8418
55,50.1,0.1,256.2885
45,40.1,1.1,256.9117
69,60.1,3.1,257.115
48,40.1,4.1,258.442
36,30.1,3.1,259.4195
57,50.1,2.1,262.5086
23,20.1,1.1,265.9314
35,30.1,2.1,267.223
34,30.1,1.1,268.4572
46,40.1,2.1,268.6835
59,50.1,4.1,272.5495
24,20.1,2.1,291.5446
12,10.1,1.1,317.4368
33,30.1,0.1,331.6361
22,20.1,0.1,342.4433
11,10.1,0.1,408.1808
0,0.1,0.1,999999
1,0.1,1.1,999999
2,0.1,2.1,999999
3,0.1,3.1,999999
4,0.1,4.1,999999
5,0.1,5.1,999999
6,0.1,6.1,999999
7,0.1,7.1,999999
8,0.1,8.1,999999
9,0.1,9.1,999999
10,0.1,10.1,999999
13,10.1,2.1,999999
14,10.1,3.1,999999
15,10.1,4.1,999999
16,10.1,5.1,999999
17,10.1,6.1,999999
18,10.1,7.1,999999
19,10.1,8.1,999999
20,10.1,9.1,999999
21,10.1,10.1,999999
25,20.1,3.1,999999
26,20.1,4.1,999999
27,20.1,5.1,999999
28,20.1,6.1,999999
29,20.1,7.1,999999
30,20.1,8.1,999999
31,20.1,9.1,999999
32,20.1,10.1,999999
37,30.1,4.1,999999
38,30.1,5.1,999999
39,30.1,6.1,999999
40,30.1,7.1,999999
41,30.1,8.1,999999
42,30.1,9.1,999999
43,30.1,10.1,999999
49,40.1,5.1,999999
50,40.1,6.1,999999
51,40.1,7.1,999999
52,40.1,8.1,999999
53,40.1,9.1,999999
54,40.1,10.1,999999
60,50.1,5.1,999999
61,50.1,6.1,999999
62,50.1,7.1,999999
63,50.1,8.1,999999
64,50.1,9.1,999999
65,50.1,10.1,999999
71,60.1,5.1,999999
72,60.1,6.1,999999
73,60.1,7.1,999999
74,60.1,8.1,999999
75,60.1,9.1,999999
76,60.1,10.1,999999
81,70.1,4.1,999999
82,70.1,5.1,999999
83,70.1,6.1,999999
84,70.1,7.1,999999
85,70.1,8.1,999999
86,70.1,9.1,999999
87,70.1,10.1,999999
91,80.1,3.1,999999
92,80.1,4.1,999999
93,80.1,5.1,999999
94,80.1,6.1,999999
95,80.1,7.1,999999
96,80.1,8.1,999999
97,80.1,9.1,999999
98,80.1,10.1,999999
101,90.1,2.1,999999
102,90.1,3.1,999999
103,90.1,4.1,999999
104,90.1,5.1,999999
105,90.1,6.1,999999
106,90.1,7.1,999999
107,90.1,8.1,999999
108,90.1,9.1,999999
109,90.1,10.1,999999
111,100.1,1.1,999999
112,100.1,2.1,999999
113,100.1,3.1,999999
114,100.1,4.1,999999
115,100.1,5.1,999999
116,100.1,6.1,999999
117,100.1,7.1,999999
118,100.1,8.1,999999
119,100.1,9.1,999999
120,100.1,10.1,999999
121,110.1,0.1,999999
122,110.1,1.1,999999
123,110.1,2.1,999999
124,110.1,3.1,999999
125,110.1,4.1,999999
126,110.1,5.1,999999
127,110.1,6.1,999999
128,110.1,7.1,999999
129,110.1,8.1,999999
130,110.1,9.1,999999
131,110.1,10.1,999999
132,120.1,0.1,999999
133,120.1,1.1,999999
134,120.1,2.1,999999
135,120.1,3.1,999999
136,120.1,4.1,999999
137,120.1,5.1,999999
138,120.1,6.1,999999
139,120.1,7.1,999999
140,120.1,8.1,999999
141,120.1,9.1,999999
142,120.1,10.1,999999
143,130.1,0.1,999999
144,130.1,1.1,999999
145,130.1,2.1,999999
146,130.1,3.1,999999
147,130.1,4.1,999999
148,130.1,5.1,999999
149,130.1,6.1,999999
150,130.1,7.1,999999
151,130.1,8.1,999999
152,130.1,9.1,999999
153,130.1,10.1,999999
154,140.1,0.1,999999
155,140.1,1.1,999999
156,140.1,2.1,999999
157,140.1,3.1,999999
158,140.1,4.1,999999
159,140.1,5.1,999999
160,140.1,6.1,999999
161,140.1,7.1,999999
162,140.1,8.1,999999
163,140.1,9.1,999999
164,140.1,10.1,999999